KeV,CT Number
10,65.95984237
15,73.22175732
20,73.99333004
30,65.37539936
40,57.4357063
50,52.77655355
60,49.49004371
80,46.57049537
100,46.30931459
150,45.11627907
200,45.40145985
300,45.57335582
400,45.05183789
500,44.90554351
600,44.95868691
800,44.92689129
1000,44.80345023
1250,45.01818757
1500,44.89051095
2000,44.68838527
3000,44.17989418
4000,43.82897443
5000,43.41801386
6000,42.79783394
8000,41.35446686
10000,40.5362776
15000,38.63987635
20000,36.67953668
