KeV,CT Number
10,9432.445112
15,9527.435744
20,8636.795949
30,5910.14377
40,3836.843086
50,2645.614808
60,1981.35017
80,1366.113228
100,1119.068541
150,917.6079734
200,863.1751825
300,829.9747049
400,820.9802074
500,816.1350263
600,814.1357749
800,811.9008264
1000,810.4779412
1250,810.6041436
1500,811.7309698
2000,817.8166734
3000,839.9470899
4000,866.3385248
5000,895.3150775
6000,924.6570397
8000,980.5063812
10000,1033.483551
15000,1141.885626
20000,1224.269167
